0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:56:22 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:57:58 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:57:58 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:57:58 +0530] "GET /RegisterLoginPage/bgpic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:58:06 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:58:06 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:58:44 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:58:44 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:00 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:00 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:01 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:02 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:02 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:03 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:04 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:06 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:06 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:07 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:07 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:32 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:32 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:32 +0530] "GET /RegisterLoginPage/bgpic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:59 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:13:59:59 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:09 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:09 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:17 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:17 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:18 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:18 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:20 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:20 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:24 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:24 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:25 +0530] "GET /RegisterLoginPage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:14:00:25 +0530] "GET /RegisterLoginPage/index.css HTTP/1.1" 304 -
